index,name,dialogue
1,,(딸랑)
2,하나,어서 오세요~!
3,하나,(세 번째 방문 손님...!)
4,젊은 남자,"아, 안녕하세요!"
5,젊은 남자,케이크 주문 제작해주시는 곳 맞죠?
6,하나,"네, 맞습니다~ 주문하시겠어요?"
7,젊은 남자,"네, 그런데... 그려온 도안은 딱히 없는데 괜찮나요?"
8,하나,네! 원하시는 것 말씀해주시면 최대한 맞춰서 제작해 드릴게요.
9,젊은 남자,그럼... 일단 레몬 케이크고요.
10,젊은 남자,튤립으로 장식해주시고...
11,젊은 남자,파란색으로 만들어주세요.
12,하나,레몬... 튤립... 파란색...
13,하나,...네? 파란색이요?
14,젊은 남자,"제가 오랫동안 좋아해 온 소꿉친구한테 케이크 주면서 고백할 건데,"
15,젊은 남자,그 친구가 레몬이랑 튤립이랑 파란색을 좋아하거든요!
16,하나,아... 그렇군요.
17,하나,"그런데 손님, 파란색 디저트는 조금 맛없어 보일 수도 있어서요."
18,하나,색만 다른 거로 하는 건 어떠세요?
19,젊은 남자,아... 파란색 디저트는 절대 못 만드나요...?
20,하나,"못 만드는 건 아닌데, 보이기에 안 예쁠 수 있어요."
21,젊은 남자,그 아이가 좋아하는 걸 하나도 놓치고 싶지 않은데...
22,젊은 남자,절대 안 되는 걸까요...? 제발요...
23,하나,음...
24,하나,"(파란색 음식, 진짜 별로일 텐데...)"
25,하나,...원하시는 대로 안 나올 수도 있어요.
26,젊은 남자,괜찮아요! 그 애가 정말 파란색을 좋아해서요. 꼭 파란색이었으면 좋겠어요!
27,하나,(저렇게 강경하시니 어쩔 수 없네.)
28,하나,"그럼, 한 번 해보겠습니다."
29,하나,2일 뒤에 수령하러 오시면 돼요.
30,젊은 남자,"와, 정말 감사합니다!"
31,젊은 남자,"그때까지 고백 멘트 연습해야지, 야호~!"
32,,젊은 남자 손님은 잔뜩 신이 난 발걸음으로 멀어졌다.
33,하나,"음... 파란색, 파란색이라..."
34,하나,포인트 색으로 파란색을 쓰는 건... 괜찮을 수도.
,,
1001,젊은 남자,안녕하세요!
1002,젊은 남자,튤립으로 장식된 파란색 레몬 케이크 받으러 왔어요!
,,
2001,젊은 남자,"와, 이거 정말 그 애 취향에 딱 맞는 디저트일 것 같은데요?!"
2002,젊은 남자,꼭 고백 성공할게요! 감사합니다!
,,
3001,젊은 남자,어... 왜 제가 주문한 대로가 아니죠?
3002,젊은 남자,꼭 세 개 다 지켰어야 했는데...
,,
4001,젊은 남자,제품이 없다니요?
4002,젊은 남자,"당장 지금 보러 가기로 했는데, 그게 무슨 말씀이세요!"
4003,젊은 남자,의뢰한 대로 만들어주는 곳이라면서요!!
4004,젊은 남자,"하... 고백 망하면, 다 당신 탓인 줄 알아요."
